_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,geometry
3085,6585,LR-14205,2740,Jane St,Jane St,West,Stanley Rd,North,11068,07,None,WR2,Existing,L0711068,,"{""coordinates"": [[-79.5147055380361, 43.7447278137648]], ""type"": ""MultiPoint""}"
3086,6586,LR-12535,500,Consumers Rd,Consumers Rd,North,Victoria Park Ave,West,08607,17,None,WR4,Existing,L1708607,,"{""coordinates"": [[-79.3221757800019, 43.7719133881388]], ""type"": ""MultiPoint""}"
3087,6587,LR-06774,2380,Danforth Ave,Danforth Ave,North,Oak Park Ave,East,06609,19,Danforth Mosaic,WR1,Existing,L3106609,,"{""coordinates"": [[-79.306785116814, 43.6871712601769]], ""type"": ""MultiPoint""}"
3088,6588,LR-06806,747,Queen St E,Queen St E,South,Lewis St,East,06689,14,Riverside District,WR2,Existing,L3006689,,"{""coordinates"": [[-79.3481486691102, 43.6591812293612]], ""type"": ""MultiPoint""}"
3089,6589,LR-06835,1295,Gerrard St E,Gerrard St E,South,Greenwood Ave,East,06786,14,None,WR2,Existing,L3006786,,"{""coordinates"": [[-79.3273043777771, 43.6710059765089]], ""type"": ""MultiPoint""}"
3090,6601,LR-12213,436,Woburn Ave,Avenue Rd,West,Woburn Ave,North,686,08,None,WR2,Existing,L1600686,,"{""coordinates"": [[-79.4170905321212, 43.7256249280371]], ""type"": ""MultiPoint""}"
3091,6602,LR-12236,293,Doris Ave,Doris Ave,East,Norton Ave,South,07966,18,None,WR2,Existing,L2307966,,"{""coordinates"": [[-79.4117649581511, 43.7720857471007]], ""type"": ""MultiPoint""}"
3092,6603,LR-12242,711,Bloor St E,Bloor St E,South,Castle Frank Rd,East,07987A,11,None,WR2,Existing,L2707987,,"{""coordinates"": [[-79.3676895765902, 43.6739313401067]], ""type"": ""MultiPoint""}"
3093,6604,LR-12247,888,Birchmount Rd,Eglinton Ave E,South,Birchmount Rd,West,07911,20,None,WR2,Temporarily Removed,L3507911,,"{""coordinates"": [[-79.2782408820778, 43.729736051899]], ""type"": ""MultiPoint""}"
3094,6605,LR-12642,171,The Esplanade,The Esplanade,South,Frederick St,East,08793,10,Old Town Toronto,WR3,Existing,L2808793,,"{""coordinates"": [[-79.3682112593592, 43.6487727935224]], ""type"": ""MultiPoint""}"
